ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
KIT.OL,2016-07-15,5.17,2016-10-07,5.52,860,286.63,6.9,84,REGIME_OFF_10W
VITR.ST,2016-09-30,109.34,2016-10-14,101.09,44,-383.09,-7.5,14,REGIME_OFF_10W
KTN.DE,2016-09-30,10.18,2016-10-28,8.95,478,-605.84,-12.0,28,HARD_STOP
ADS.DE,2016-07-15,132.21,2016-11-04,132.38,33,-14.16,0.1,112,BELOW_30W_SMA
AMG.AS,2016-07-15,12.74,2016-12-02,14.29,349,519.13,12.1,140,BELOW_30W_SMA
COR.LS,2016-07-15,7.22,2016-12-02,7.6,616,217.71,5.3,140,BELOW_30W_SMA
HEX.OL,2016-10-28,20.31,2016-12-09,18.1,210,-483.17,-10.9,42,BELOW_30W_SMA
NESTE.HE,2016-10-21,13.45,2016-12-16,11.89,316,-512.95,-11.6,56,HARD_STOP
HTG.L,2016-12-16,598.98,2017-02-24,515.41,6,-521.42,-14.0,70,HARD_STOP
MT.AS,2016-12-02,21.62,2017-04-18,19.97,220,-383.2,-7.6,137,BELOW_30W_SMA
MTS.MC,2016-12-02,21.56,2017-04-18,19.99,221,-366.9,-7.3,137,BELOW_30W_SMA
BRWM.L,2016-12-09,348.73,2017-04-18,333.32,11,-189.51,-4.4,130,BELOW_30W_SMA
OUT1V.HE,2016-09-30,6.15,2017-05-05,7.97,792,1424.91,29.7,217,BELOW_30W_SMA
ELG.DE,2017-04-18,22.11,2017-06-30,19.18,86,-271.67,-13.2,73,HARD_STOP
LNZ.VI,2017-04-18,146.7,2017-07-21,129.71,38,-665.94,-11.6,94,HARD_STOP
EVT.DE,2017-06-30,14.06,2017-07-21,12.04,132,-286.7,-14.4,21,HARD_STOP
TROAX.ST,2017-04-18,81.24,2017-07-28,74.13,68,-503.48,-8.8,101,BELOW_30W_SMA
BFT.WA,2017-02-24,894.45,2017-09-08,989.53,3,265.23,10.6,196,BELOW_30W_SMA
CRI.PA,2016-11-04,15.03,2017-11-10,23.12,289,2317.72,53.8,371,BELOW_30W_SMA
CDR.WA,2017-07-28,87.21,2017-12-08,93.53,58,346.33,7.2,133,BELOW_30W_SMA
DBG.PA,2017-07-28,7.22,2018-01-12,8.12,1,-19.11,12.4,168,BELOW_30W_SMA
