date,equity,cash,positions,regime_on,circuit_breaker,returns
2016-02-19,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-02-26,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-03-04,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-03-11,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-03-18,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-03-29,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-04-01,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-04-08,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-04-15,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-04-22,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-04-29,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-05-06,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-05-13,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-05-20,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-05-27,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-06-03,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-06-10,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-06-17,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-06-24,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-07-01,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-07-08,44637.718418053424,44637.718418053424,0,False,False,0.0
2016-07-15,44322.41330552225,1261.3907992852191,10,True,False,-0.007063647599059419
2016-07-22,45987.08871865396,1261.3907992852191,10,True,False,0.037558320700112
2016-07-29,46624.19592261438,1261.3907992852191,10,True,False,0.013854045161636463
2016-08-05,46758.67148471002,1261.3907992852191,10,True,False,0.0028842441019003573
2016-08-12,47675.06890273218,1261.3907992852191,10,False,False,0.019598448564173143
2016-08-19,47812.04777154092,14016.026434508607,7,False,False,0.0028731761056961513
2016-08-26,48072.64429911737,14016.026434508607,7,False,False,0.005450436442748563
2016-09-02,47590.311875120446,18362.341812864586,6,False,False,-0.010033407378128745
2016-09-09,47548.32632710104,18362.341812864586,6,False,False,-0.0008822288899804631
2016-09-16,48125.70560425405,22974.196232496543,5,False,False,0.012142998960279483
2016-09-23,49528.88348120336,22974.196232496543,5,False,False,0.02915651540754305
2016-09-30,48564.009720903676,13.38227234487158,10,True,False,-0.01948103192485373
2016-10-07,48938.717714315695,4752.517435556694,9,False,False,0.007715754847374745
2016-10-14,48204.49572764043,9190.565368753716,8,False,False,-0.015002885669406996
2016-10-21,49105.54487175588,8.905131765648548,10,True,False,0.018692222177915774
2016-10-28,48311.80217633848,2.7288483202910356,10,True,False,-0.016164013605598715
2016-11-04,45761.50873097544,6.3684874451628275,10,True,False,-0.052788207652748165
2016-11-11,47320.41261777048,6.3684874451628275,10,True,False,0.0340658323998797
2016-11-18,48243.50121506815,6.3684874451628275,10,True,False,0.01950719670924883
2016-11-25,48138.15492829447,6.3684874451628275,10,True,False,-0.002183636844764858
2016-12-02,47710.20590254431,114.97276016836167,10,True,False,-0.008890017209584045
2016-12-09,50277.80952149038,60.01039248113648,10,True,False,0.05381665348900011
2016-12-16,51547.00138994818,202.4010419524202,10,True,False,0.025243579235791902
2016-12-23,51527.8806981719,202.4010419524202,10,True,False,-0.0003709370334004092
2016-12-30,51417.668171373654,202.4010419524202,10,True,False,-0.0021388911266082555
2017-01-06,52222.64480873709,202.4010419524202,10,True,False,0.015655642622307786
